date,actual_AQI,predicted_AQI,error,absolute_error,squared_error,actual_category,predicted_category,category_correct,horizon,model
2025-12-01,113.0,106.90401542062213,-6.09598457937787,6.09598457937787,37.161027992012784,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-12-02,83.0,112.33903442388987,29.33903442388987,29.33903442388987,860.7789409261949,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-03,91.0,113.7674835910147,22.767483591014695,22.767483591014695,518.3583090671234,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-04,79.0,115.9342105828129,36.934210582812895,36.934210582812895,1364.135911375568,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-05,125.0,111.7691625765622,-13.230837423437805,13.230837423437805,175.05505892544232,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-12-06,125.0,109.01562339345938,-15.984376606540621,15.984376606540621,255.50029549972308,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True,AQI_t+2,SVR + RobustScaler
2025-12-07,89.0,113.88839804429854,24.88839804429854,24.88839804429854,619.4323572114434,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-08,95.0,116.08580364640153,21.08580364640153,21.08580364640153,444.6111154146001,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-09,89.0,105.17057253217928,16.17057253217928,16.17057253217928,261.487416018471,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-10,86.0,103.78379182496671,17.783791824966713,17.783791824966713,316.2632516737529,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-11,83.0,107.03136844455354,24.031368444553536,24.031368444553536,577.5066693178834,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-12,100.0,107.87792104314744,7.877921043147438,7.877921043147438,62.06163996206522,Moderate,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
2025-12-13,153.0,109.69383490583711,-43.30616509416289,43.30616509416289,1875.4239351628926,Unhealthy,Unhealthy for Sensitive Groups,False,AQI_t+2,SVR + RobustScaler
